原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤	否定正面思考	罪责归他	悲观情绪	比较与绝望	对比
Mary doesn't like me at all	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I have made the matters worse	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I invited a co-worker out and they turn me down They will never want to go out with me	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I worried about being late and I almost crashed the car I worry too much	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls. I thought he was cheating on me	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
If I couldn't make this relationship work, I will never succeed at finding a lifelong partner	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
My writing is too drab	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
We are late to the dinner party The party is spoilt because of us	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I painted with my friends The color in their work is so much more vibrant, mine doesn't look this good	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I will lose my job over this	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
i'm never going to live a normal life	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
I'm late for the meeting This shows what a jerk I am	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I confronted a coworker about eating my food from the refrigerator, only to realize the custodians threw away my food the night before. My coworkers are making fun of me now	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
I just can't control myself	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I actually cannot help it on my own. No matter how hard I try, looking at the bright side of things, logically trying to reason things out, giving myself the benefit of the doubt.. Everything is driving me up the wall. Anger, frustration, sadness, you name it. It's like everything I was able to blow off before is just hitting straight at me and it's relentless. Everything driving me nuts...	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I received a rejection email from a position I applied to. I will never get a job.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
I can return it and get a different one, but I have wasted so much time	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I failed in everything I'm a failure	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
My crush doesn't like me back Never finding love	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
about my boyfriend if he's cheating on me again	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I was passed over for a new job with a larger company. I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I've been a massive bummer in my personal life and am making people feel bad I'm worthless	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
I spent 3 hours but was only able to make 2 slides. I've wasted all that time	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I'm late for the meeting. I'll make a fool of myself	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
concentrate on one thing at the time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I need to develop myself in that direction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Every time I take a day off from work, it rains	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
My teacher is the reason I'm not doing well	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
i'm going to prison	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A potential client decided to work with another company I failed our company & myself	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I made a mistake with an expensive reagent at work and ruined my experiment. I'm mad at myself for being careless	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
the worthlessness of life	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Maybe they knew that I would make a fool of myself	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
The color in their work is so much more vibrant, mine doesn't look this good	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
I tried on my wedding dress in front of my family. My mother was excited and told me I was beautiful, but other members of my family made comments about my weight. I was told to not eat and exercise so I could be beautiful. I'm a fat ugly troll.	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
When I feel ugly and hate my self I will go crazy if I don't control my racing thoughts	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I bet more people will cancel	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I made a mistake in my presentation. People are going to think I am stupid	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I'm organizing a birthday party for my kid My niece's birthday party had twice the amount of people, our party will be rubbish in comparison	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
If I'm not a total success, I'm a failure	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I'm failing school I'm worthless	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
My Dentist told me I'd need a root canal procedure. I'm going to have to endure some physical and financial pain.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
I did nothing with my day Don't feel like I deserve fun/enjoyment	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I shouldn't have posted it	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
My father always prefers my elder brother	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings it's all my fault	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
An mturk requester rejected my task and I wasn't sure why because I work very hard on my tasks. Being new it affected my approval rating more negatively. I'm not smart enough to succeed at mturk	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0
The marriage ended because I failed	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
I'll forget what I'm supposed to say	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
My speech isn't any good	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
They want to see me so this must be really bad	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A friend who is a recent widower has started dating. My friend is ignoring his recently-deceased wife.	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
i do alot of stuff at home so much work and when my dad comes home from work it never seems enough for him and he spanks/beats us if we didnt do enough I'll never be able to do anything	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
I applied for a job and just got a call saying I didn't get the job. I am not good enough for anyone.	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
My wife has left me. I'm going to be alone	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
I got in a fight with my roommate over the bathroom He's so damn inconsiderate	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
They think that I am a horrible human being	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I came home to find my spouse had taken all of his things and left a note saying our marriage was over. My marriage is over.	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
I can't stand being alone now that Jane has gone	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I gave a present to my friend on her birthday My present was much smaller in size than the others	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I sent a message to my friend and they did not reply It must be my fault	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
