原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤
Where most people our age would worry about their jobs, bills, retirement and so on, she is only concerned with makeup, hair, music and her friends. She is also extremely gullible.	0	0	0	0	0	0	1	0	0	0
I’ve lived with my aunt for over 6 years and the past 4 have been hell she yells at me constantly and sometimes hits me.	0	1	0	0	0	0	0	0	0	0
I never feel fully rested no matter how much I sleep and I generally feel overwhelmed in life.	0	1	0	0	0	0	0	0	0	0
At first I tried to help and it wasn’t easy as I was feeling depressed but i always put him first. But, I thought about what would happen if he killed himself and now I want him to do it, I want him to die.	0	0	0	0	0	1	0	0	0	0
Most of the times I can’t hold a normal conversation (I talk to others but not as much as I’d like to) and feel that I’m lacking concentration or don’t give enough attention to others and what they are telling me.	0	0	0	0	0	0	0	0	1	0
I find them extremely sexually arousing and I can’t help myself but thinking about them.I’m worried about how later in life, if this will go away or not. I know this is horrible, and I even feel guilty constantly, but I can’t seem to help it.	1	0	0	0	0	0	0	0	0	0
I feel like there is no hope. He constantly does things to self-sabotage and is not helping himself.	0	0	0	0	1	0	0	0	0	1
But I somehow still are very sensitive towards my emotions and anything around me that sound like death depression, sadness, suicide or stuff like that. That stuff scares me. For example, when somebody is making a joke about me I instantly check myself to make sure I am not sad or mad or anything.	0	0	0	0	0	0	0	0	0	1
To me most probable reasons for him proposing me 1. he felt guilty towards me 2. He eventually thought me best suitable out of the proposals he received for marriage and as he knew that I loved him might have thought me to be submissive to him and follow him blindly for whatever he says.	0	0	0	1	0	0	0	0	0	0
On one hand, I’m sad and guilty because of my impolite talking and nagging; on the other hand, I believe that person is the one that made me mad and he/she deserved my rude words.	0	0	0	0	0	0	0	0	1	0
Though they both see psychiatrists for meds, neither are in therapy anymore since “it doesn’t work.”	0	1	0	0	0	0	0	0	0	0
I’m 17 now and should be off to university next year, but I’m so scared I don’t know if I should. I have a history of depression, really bad self-esteem, and I know I show many symptoms of OCD and anxiety, specifically GAD. The thought of going to university at this point terrifies me as I am worrying that all of my problems will get worse and worse to the point that I can’t cope anymore.	0	0	0	0	1	0	1	0	0	0
I’m the clown in my circle of friends and the “crazy energetic optimistic person” that cheers people up.	0	0	1	0	0	0	0	0	0	0
And I feel I will never be the type of man she truly adores, not a talented and poetic, famous musician	0	0	0	1	0	0	0	0	0	0
I enjoy getting in relationships only to completely destroy the person later on. Or well, not really. I enjoy it in the moment. I get all gittery and giggly and I feel really good inside. It’s not a sexual thing either, it’s just fun. I feel like life without hurting others would be boring and mundane.	1	0	0	0	0	0	0	0	0	0
What I remember really distinctly is assuming everyone else was going through the same thing.	0	0	0	1	0	0	0	0	0	0
Especially at night time where I think what if I am not really here, everything seems strange and weird around me. Not as much as that night that I took the syroup but sort of. IT’s just these thoughts are scaring me and make me think that I might be getting schizophrenia , or the onset of it…	0	1	0	0	0	0	0	0	0	0
