原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤	否定正面思考	罪责归他
他们那么讨论这件事，一定是因为我配不上他，我怎么这么普通。	0	0	0	0	0	0	0	0	1	0	0	0
她看不惯我，所以故意找我麻烦	0	0	0	1	0	0	0	0	0	0	0	0
我控制不了自己，以后别人肯定也会对我脸色不好。	0	0	0	0	1	0	0	0	0	0	0	0
天天内卷，卷又卷不过，真希望早点世界末日，要是世界毁灭了就不用上班了	0	0	0	0	0	1	0	0	0	0	0	0
我和我最好的朋友的交往都会出现问题，我未来和其它人的交往肯定也会出问题	0	0	0	0	1	0	0	0	0	0	0	0
朋友最后都会抛弃我，与其承受这种痛苦不如从一开始就不交朋友	0	0	0	0	1	0	0	0	0	0	0	0
我已经习惯了这样的郁郁寡欢，我觉得我这一生都会这样难过，这就是我。	0	1	0	0	0	0	0	0	0	0	0	0
都怪我不敢反抗，事情才会是这样的，我一直放任他们的所作所为，我真是罪有应得。	0	0	0	0	0	0	0	0	1	0	0	0
睡不着算了，趁这个机会做点平时想做但没时间做的事吧，说不定就困了能睡觉了呢。不过这也许只是在自欺欺人，我是不是在逃避问题？	0	0	0	0	0	0	0	0	0	0	0	0
战争真令人害怕崩溃，我不知道怎么解决	1	0	0	0	0	0	0	0	0	0	0	0
明明最近工作很多，压力很大，现在还查不出来具体疾病，好伤心。	0	0	0	0	0	0	0	0	0	0	0	0
这样活着还不如死了痛快，至少死了就再也不用痛苦了。生活对我来说就是一场无尽的痛苦。	0	0	0	0	0	1	0	0	0	0	0	0
哎，这段时间天天996: 罪责归己、倒班，还感冒了，真的好累，真想好好休息一下啊	0	0	0	0	0	0	0	0	0	0	0	0
辞职吧，我无法融入这种氛围，我注定是需要自己节奏的人。	0	0	1	0	0	0	0	0	0	0	0	0
我真的是服了！我以前也没觉得自己这么笨啊，连PPT保存都忘了，我以后会得老年痴呆症吧。	0	0	0	0	1	0	0	0	0	0	0	0
我理解父母工作的辛劳，但我真的希望他们能抽空回来陪陪我。没有父母的陪伴，我感到非常难过。	0	0	0	0	0	0	0	0	0	0	0	0
女人都这样肤浅，明明衣服够穿还要买那么多，整天乱花钱，不就是爱慕虚荣吗	0	1	0	0	0	0	0	0	0	0	0	0
她都这么打压我了，都没人站出来帮我，全公司没一个善良的，一个个自私自利，就喜欢看别人笑话	0	1	0	0	0	0	0	0	0	0	0	0
就算我努力参与社团活动也不会有人想和我当朋友的，我的问题不会有办法解决	0	0	0	0	1	0	0	0	0	0	0	0
我就是这样的烂人，我就是不可能有朋友，就是因为我这么差劲，我的朋友才一个接一个地离开我	0	0	0	0	0	0	0	0	1	0	0	0
挺膈应人的，虽说我早就知道他是个不守约的人，但心里还是不舒服。我一定是太过敏感了，总是觉得自己受伤害。	0	0	0	0	0	0	0	0	1	0	0	0
让世界变得更好，就是我应当承担的责任，借助网络让更多人关注这个问题，保护更多孩子免受我过去所受的伤害	0	0	0	0	0	0	0	0	0	0	0	0
这就是我做违法事情的下场，明知道还要去做，这种代价已经算很轻的了	0	0	0	0	0	0	0	0	0	0	0	0
我一直都感到孤单，需要人的时候，他们永远都不在我的身边。	0	1	0	0	0	0	0	0	0	0	0	0
