原始文本	情绪化推理	以偏概全	乱贴标签	读心术	先知错误	非此即彼	应该句式	放大	罪责归己	心理过滤
From the U.S.: I’m 30 and have never experienced the feeling of being embarrassed or shame. I constantly read and see the word (embarrassment) in books or TV, but I have never identified with it. When growing up, I actually thought the feeling of anger (which I experience quite often) and the feeling of embarrassment were one and the same thing. I now realize from my past that in situations were I was supposed to feel embarrassed such as when I was bullied or ridiculed, I only felt anger.	0	1	0	0	0	0	0	0	0	0
I’ve been looking and i can’t seem to find a question like this, but i don’t know why i consider myself as “unattractive.” I’m a 15 y/o boy in high school and I always feel like i look so hideous, but people keep trying to tell me that I’m not. Sometimes I tend to get angry, because I feel that these people are just trying to be nice or generous. As a straight forward person, I like to be honest and expect the same from my peers. I try to avoid photos and videos, and when I talk to people, I feel as if they’re disgusted having to look at me. I think that this is a very negative thing, as people get angry at me because they think that I’m seeking attention, but I’m not. I just want the truth from people, but my thoughts of myself being undesirable can’t cope with some of these people’s opinions. Sometimes my flaws are so easy to see, and people still tell me that I look fine. Truthfully, I hate it, and if these people are lying I want them to stop. And if they’re telling the truth, I want my thoughts to stop telling me that I look ugly. It’s a disadvantage for me, for my love life and for my social life. (age 15, from US)	0	0	1	0	0	0	0	0	0	0
My boyfriend sleeps in the same bed as his 5 year old daughter. He puts her in her bed every night (after an hour battle) but every single night she gets up and comes into his bed. When i sleep there, she crawls in with both of us but this is difficult for me cause i don’t get a good sleep and will sometimes end up on the couch. The other night she came in and was mad that she couldn’t be beside her dad because i was, so she whjned and punched me in the back until i left. Im wondering if this is harming the relationship between my bf and i that we don’t get alone time even in bed? And has she learned by kicking me out that all she needs to do is make enough noise and she can get what she wants? Am i being selfish to want this alone time with him? Is she learning that me and her dad’s relationship is not important if she can kick me out of my time with him so easily? (From Canada)	0	1	0	0	0	0	0	0	0	0
I was professionally diagnosed with ADHD and I’ve struggled with it since childhood. Later I was diagnosed with BPD and GAD, and a different doctor diagnosed BD2. I am certain about the BPD and ADHD, but I think I might actually have MPD (not GAD and BD2) and I’m concerned. I always hate telling my parents or my doctors about problems I think I might have for fear of looking dramatic or “wanting to have problems.” I fit every description in the DSM5, but when I think of MPD I immediately picture the movie Sybil and I know I am not nearly as severe as her. I would like to get help but like I said, I’m afraid it will be seen as one of my “attention seeking behaviors” (but I’m extremely aware of those, and I’ve been making them healthier behaviors as much as I’ve been able) I wouldn’t even know what to do if it were MPD, all the treatment options sound so scary and the thought of being labeled as one of the so-called “crazy” disorders is also scary.	1	0	0	0	0	0	0	0	0	0
I’ve always had trouble keeping friends around as I push them away and/or just say stupid things that cause my relationships to crumble. One of those friends left a deep impact on my life both positive and negative and because of the things we talked about and did together. Stupid me focused on her negative past and I feel I failed to be there for her like she was for me when I wanted to commit suicide. I wasn’t there when she needed me the most, instead of helping her be happy in the present I ran or made stupid statements that hurt her more. I’m self-aware of my problems but I can never fix them. I’ve dropped many activities especially ones that remind me of past friends. I’ve recently lost a close friend again because of my stubborn compulsiveness and toxicity and I just want it to stop, I really want to change.	0	0	1	0	1	0	0	0	0	0
I don’t know what this would be considered, but it’s possibly hereditary: I was adopted as an infant, and my adoptive family took my birth mother and I in before adopting me a year later. My birth mother had a number of different mental health problems that seemed to have possibly ran in the family- because now my little sister and I are experiencing them. My adoptive parents tried to get my mom help while she lived with them by taking her to a crisis unit to be evaluated, and they told my adoptive father that she saw me more as a doll, than as a living person that she must take care of. They never heard her diagnoses, because they werent in the room while she was fully evaluated. All I know is my adoptive father says I act just like her, and have the exact same problems she did. I dont know for sure what exactly ran in our family because of me being adopted I have very limited knowledge- and my birth mother had all her records sealed before committing suicide in 2001. I know for sure that Manic Depression Level 1 and Autism run in our family. I was never screened for Autism because I didnt know that it ran in the family until just recently because I just found my little sister a few weeks back and she told me it was very possible that mom had it, and that she does.	0	1	0	0	0	0	0	0	0	0
I suffer from bipolar and anxiety. I’m a wife and a mother of two. I had seen the same psych doctor for 10 years. Then it got to the point that I couldn’t drag myself to go to my spots. Finally, they booted me from the clinic. I’m still taking the same meds I begged my doctor to change as they were not working. My mother passed away in jan 2015 and my step dad in April 2016. They have me on 3 different meds cymbals, gabapentin n Valium. I started school in March to try to take my thoughts away from all the overwhelming stuff. Well the whole time I’ve been in a brain fog. I feel disassociated with reality. I either sleep alot or to much. I don’t go in public because I get high anxiety or pop two or three Valiums. I sleep to much or to little. Thoughts of suicide come and go. Because I think of all the suicidal lies. I’m scared some days of it but I get threw it somehow. There’s day where I plan out to do it but don’t. I’m not really suicidal right now. I can’t lock myself up as I’m going threw an adoption. I seen one psych doctor ge was weird but made me go up on my meds that I don’t like I don’t feel they are helping. I can’t seem to get out of this brain fog or funk whatever u wanna call it. I feel like smoking pot though I havent. I’m tired all the time. I never feel fully rested no matter how much I sleep and I generally feel overwhelmed in life. What are your thoughts and suggestions?	0	1	0	0	0	0	0	0	0	0
I’m in a relationship w a woman I love. But I cannot control myself. I lie constantly. She always catches me in lies and I get angry and turn it on her. I know I have lied but I blame her. When emotions get crazy my behavior is bad – lying, cheating, drinking, drugs, disappearing. I say I’m sorry and will not do it again. But I do. Just last week I cheated on her. I lied several times about it but she knew Bc she found a condom wrapper in my trashcan. I was emotional, went drinking, and cheated. Guilt is enormous! But I can’t control myself. I’ve lied to her hundreds of times in the past few months even when I have had no reason to lie! Today I was feeling so guilty. I called and we talked. I asked her for one last chance. She agreed to think about it while we are apart for a few days. I’m going on a quick out of state trip. But she caught me in a lie there as well because I went with a platonic female friend. I told her that I was going with a couple of guys she knew. She called while I was driving and I had to admit I was with the female. She said that’s it; she’s done. I’m so guilty and heartbroken. She’s my whole world and she is the only person always there for me. But I keep treating her badly. Over Christmas I took several hundred dollars from her bank account to buy Christmas gifts. I told her I had something nice planned for her and her daughter. I spent all that money on drugs in one day! Then I lied and told her I didn’t it on an exirnduve gift for my mother. Of course, she caught me in that lie! You name it and I’ve done it to this woman. She deserves none of it! I want to be with her but I can’t keep myself in check. No insurance and can’t find a free clinic. I’m feeling worthless and guilty. I love her so much. But my lying and bad behavior carries on beyond just her. How can I find help? How can I keep her in my life? I’m losing all hope of a normal life and relationship.	0	0	1	0	1	0	0	0	0	0
My fiance and I were together for 7 years. We had the storybook romance: we were always happy, never argued, never tired of each other, and all of of friends and family looked at us as having the perfect relationship. Life could not be better for the two of us.	0	0	1	0	0	0	0	0	0	0
I have a close friend who is also a colleague; we spend a lot of time together. She shares a lot of her feelings with me, and a while ago I found that her low moods were causing my mood to drop as well. I made an effort and have had success separating my mood from hers and protecting myself from “catching” how she feels.	0	0	0	0	0	0	0	0	0	0
